,Dataset,Model,Layer,Iteration,Accuracy
248,DTFit,bert-large-cased,25,9,0.7416666666666667
249,DTFit,bert-large-cased,25,10,0.8083333333333333
250,EventsAdapt,bert-large-cased,1,1,0.5
251,EventsAdapt,bert-large-cased,1,2,0.5
252,EventsAdapt,bert-large-cased,1,3,0.5
253,EventsAdapt,bert-large-cased,1,4,0.5
254,EventsAdapt,bert-large-cased,1,5,0.5
255,EventsAdapt,bert-large-cased,1,6,0.5
256,EventsAdapt,bert-large-cased,1,7,0.5
257,EventsAdapt,bert-large-cased,1,8,0.5
258,EventsAdapt,bert-large-cased,1,9,0.5
259,EventsAdapt,bert-large-cased,1,10,0.5
260,EventsAdapt,bert-large-cased,2,1,0.5128205128205128
261,EventsAdapt,bert-large-cased,2,2,0.5128205128205128
262,EventsAdapt,bert-large-cased,2,3,0.5192307692307693
263,EventsAdapt,bert-large-cased,2,4,0.5064102564102564
264,EventsAdapt,bert-large-cased,2,5,0.5128205128205128
265,EventsAdapt,bert-large-cased,2,6,0.5128205128205128
266,EventsAdapt,bert-large-cased,2,7,0.5192307692307693
267,EventsAdapt,bert-large-cased,2,8,0.5192307692307693
268,EventsAdapt,bert-large-cased,2,9,0.4871794871794871
269,EventsAdapt,bert-large-cased,2,10,0.5192307692307693
270,EventsAdapt,bert-large-cased,3,1,0.5384615384615384
271,EventsAdapt,bert-large-cased,3,2,0.4871794871794871
272,EventsAdapt,bert-large-cased,3,3,0.5192307692307693
273,EventsAdapt,bert-large-cased,3,4,0.5641025641025641
274,EventsAdapt,bert-large-cased,3,5,0.5256410256410257
275,EventsAdapt,bert-large-cased,3,6,0.5384615384615384
276,EventsAdapt,bert-large-cased,3,7,0.532051282051282
277,EventsAdapt,bert-large-cased,3,8,0.5641025641025641
278,EventsAdapt,bert-large-cased,3,9,0.5641025641025641
279,EventsAdapt,bert-large-cased,3,10,0.532051282051282
280,EventsAdapt,bert-large-cased,4,1,0.5448717948717948
281,EventsAdapt,bert-large-cased,4,2,0.5128205128205128
282,EventsAdapt,bert-large-cased,4,3,0.5384615384615384
283,EventsAdapt,bert-large-cased,4,4,0.5512820512820513
284,EventsAdapt,bert-large-cased,4,5,0.5641025641025641
285,EventsAdapt,bert-large-cased,4,6,0.5128205128205128
286,EventsAdapt,bert-large-cased,4,7,0.6025641025641025
287,EventsAdapt,bert-large-cased,4,8,0.5192307692307693
288,EventsAdapt,bert-large-cased,4,9,0.5705128205128205
289,EventsAdapt,bert-large-cased,4,10,0.5256410256410257
290,EventsAdapt,bert-large-cased,5,1,0.5576923076923077
291,EventsAdapt,bert-large-cased,5,2,0.5512820512820513
292,EventsAdapt,bert-large-cased,5,3,0.5256410256410257
293,EventsAdapt,bert-large-cased,5,4,0.6346153846153846
294,EventsAdapt,bert-large-cased,5,5,0.5384615384615384
295,EventsAdapt,bert-large-cased,5,6,0.5384615384615384
296,EventsAdapt,bert-large-cased,5,7,0.5705128205128205
297,EventsAdapt,bert-large-cased,5,8,0.5769230769230769
298,EventsAdapt,bert-large-cased,5,9,0.5705128205128205
299,EventsAdapt,bert-large-cased,5,10,0.5961538461538461
300,EventsAdapt,bert-large-cased,6,1,0.5192307692307693
301,EventsAdapt,bert-large-cased,6,2,0.5833333333333334
302,EventsAdapt,bert-large-cased,6,3,0.5512820512820513
303,EventsAdapt,bert-large-cased,6,4,0.5512820512820513
304,EventsAdapt,bert-large-cased,6,5,0.5512820512820513
305,EventsAdapt,bert-large-cased,6,6,0.5512820512820513
306,EventsAdapt,bert-large-cased,6,7,0.6282051282051282
307,EventsAdapt,bert-large-cased,6,8,0.5705128205128205
308,EventsAdapt,bert-large-cased,6,9,0.5128205128205128
309,EventsAdapt,bert-large-cased,6,10,0.5833333333333334
310,EventsAdapt,bert-large-cased,7,1,0.5448717948717948
311,EventsAdapt,bert-large-cased,7,2,0.5897435897435898
312,EventsAdapt,bert-large-cased,7,3,0.6346153846153846
313,EventsAdapt,bert-large-cased,7,4,0.5705128205128205
314,EventsAdapt,bert-large-cased,7,5,0.5833333333333334
315,EventsAdapt,bert-large-cased,7,6,0.6025641025641025
316,EventsAdapt,bert-large-cased,7,7,0.6153846153846154
317,EventsAdapt,bert-large-cased,7,8,0.5576923076923077
318,EventsAdapt,bert-large-cased,7,9,0.6089743589743589
319,EventsAdapt,bert-large-cased,7,10,0.5512820512820513
320,EventsAdapt,bert-large-cased,8,1,0.6153846153846154
321,EventsAdapt,bert-large-cased,8,2,0.6089743589743589
322,EventsAdapt,bert-large-cased,8,3,0.5769230769230769
323,EventsAdapt,bert-large-cased,8,4,0.532051282051282
324,EventsAdapt,bert-large-cased,8,5,0.6217948717948718
325,EventsAdapt,bert-large-cased,8,6,0.5769230769230769
326,EventsAdapt,bert-large-cased,8,7,0.6282051282051282
327,EventsAdapt,bert-large-cased,8,8,0.5769230769230769
328,EventsAdapt,bert-large-cased,8,9,0.5833333333333334
329,EventsAdapt,bert-large-cased,8,10,0.6217948717948718
330,EventsAdapt,bert-large-cased,9,1,0.6217948717948718
331,EventsAdapt,bert-large-cased,9,2,0.6602564102564102
332,EventsAdapt,bert-large-cased,9,3,0.5961538461538461
333,EventsAdapt,bert-large-cased,9,4,0.5705128205128205
334,EventsAdapt,bert-large-cased,9,5,0.6730769230769231
335,EventsAdapt,bert-large-cased,9,6,0.6474358974358975
336,EventsAdapt,bert-large-cased,9,7,0.5769230769230769
337,EventsAdapt,bert-large-cased,9,8,0.6602564102564102
338,EventsAdapt,bert-large-cased,9,9,0.5961538461538461
339,EventsAdapt,bert-large-cased,9,10,0.6602564102564102
340,EventsAdapt,bert-large-cased,10,1,0.6089743589743589
341,EventsAdapt,bert-large-cased,10,2,0.6025641025641025
342,EventsAdapt,bert-large-cased,10,3,0.6217948717948718
343,EventsAdapt,bert-large-cased,10,4,0.6730769230769231
344,EventsAdapt,bert-large-cased,10,5,0.6410256410256411
345,EventsAdapt,bert-large-cased,10,6,0.6282051282051282
346,EventsAdapt,bert-large-cased,10,7,0.6666666666666666
347,EventsAdapt,bert-large-cased,10,8,0.5897435897435898
348,EventsAdapt,bert-large-cased,10,9,0.5705128205128205
349,EventsAdapt,bert-large-cased,10,10,0.5769230769230769
350,EventsAdapt,bert-large-cased,11,1,0.5448717948717948
351,EventsAdapt,bert-large-cased,11,2,0.6346153846153846
352,EventsAdapt,bert-large-cased,11,3,0.6153846153846154
353,EventsAdapt,bert-large-cased,11,4,0.5897435897435898
354,EventsAdapt,bert-large-cased,11,5,0.5705128205128205
355,EventsAdapt,bert-large-cased,11,6,0.5705128205128205
356,EventsAdapt,bert-large-cased,11,7,0.6089743589743589
357,EventsAdapt,bert-large-cased,11,8,0.5897435897435898
358,EventsAdapt,bert-large-cased,11,9,0.6410256410256411
359,EventsAdapt,bert-large-cased,11,10,0.5448717948717948
360,EventsAdapt,bert-large-cased,12,1,0.6474358974358975
361,EventsAdapt,bert-large-cased,12,2,0.6346153846153846
362,EventsAdapt,bert-large-cased,12,3,0.5833333333333334
363,EventsAdapt,bert-large-cased,12,4,0.5897435897435898
364,EventsAdapt,bert-large-cased,12,5,0.6346153846153846
365,EventsAdapt,bert-large-cased,12,6,0.6282051282051282
366,EventsAdapt,bert-large-cased,12,7,0.6153846153846154
367,EventsAdapt,bert-large-cased,12,8,0.6153846153846154
368,EventsAdapt,bert-large-cased,12,9,0.6089743589743589
369,EventsAdapt,bert-large-cased,12,10,0.6666666666666666
370,EventsAdapt,bert-large-cased,13,1,0.5769230769230769
371,EventsAdapt,bert-large-cased,13,2,0.5833333333333334
372,EventsAdapt,bert-large-cased,13,3,0.6282051282051282
373,EventsAdapt,bert-large-cased,13,4,0.5961538461538461
374,EventsAdapt,bert-large-cased,13,5,0.5833333333333334
375,EventsAdapt,bert-large-cased,13,6,0.6346153846153846
376,EventsAdapt,bert-large-cased,13,7,0.5641025641025641
377,EventsAdapt,bert-large-cased,13,8,0.5833333333333334
378,EventsAdapt,bert-large-cased,13,9,0.6282051282051282
379,EventsAdapt,bert-large-cased,13,10,0.5512820512820513
380,EventsAdapt,bert-large-cased,14,1,0.6474358974358975
381,EventsAdapt,bert-large-cased,14,2,0.5705128205128205
382,EventsAdapt,bert-large-cased,14,3,0.6282051282051282
383,EventsAdapt,bert-large-cased,14,4,0.6217948717948718
384,EventsAdapt,bert-large-cased,14,5,0.6282051282051282
385,EventsAdapt,bert-large-cased,14,6,0.6474358974358975
386,EventsAdapt,bert-large-cased,14,7,0.532051282051282
387,EventsAdapt,bert-large-cased,14,8,0.6153846153846154
388,EventsAdapt,bert-large-cased,14,9,0.6538461538461539
389,EventsAdapt,bert-large-cased,14,10,0.5705128205128205
390,EventsAdapt,bert-large-cased,15,1,0.6410256410256411
391,EventsAdapt,bert-large-cased,15,2,0.6153846153846154
392,EventsAdapt,bert-large-cased,15,3,0.6602564102564102
393,EventsAdapt,bert-large-cased,15,4,0.6730769230769231
394,EventsAdapt,bert-large-cased,15,5,0.6602564102564102
395,EventsAdapt,bert-large-cased,15,6,0.6474358974358975
396,EventsAdapt,bert-large-cased,15,7,0.6474358974358975
397,EventsAdapt,bert-large-cased,15,8,0.7564102564102564
398,EventsAdapt,bert-large-cased,15,9,0.6538461538461539
399,EventsAdapt,bert-large-cased,15,10,0.6089743589743589
400,EventsAdapt,bert-large-cased,16,1,0.6987179487179487
