"Model","TrialType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"GPT-2","TrainOn:AAN-TestOn:AI","(Intercept)",0.977906976744189,0.00845588754181894,115.648058457248,0,0,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AI","LayerGroupearly",-0.461018189979482,0.00870103649727668,-52.9842841279628,1.1285150530848e-205,3.61124816987135e-204,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AI","LayerGroupmid",-0.270436273619188,0.00871612937331598,-31.0271064180295,5.43950782506103e-118,1.74064250401953e-116,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AI","LayerGrouplate",-0.263551507994186,0.00871612937331592,-30.237218460873,2.28417496578733e-114,7.30935989051944e-113,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AI","LayerGroupearly:cLayerWithinGroup",0.00293160232843132,0.000418628813660951,7.00286801282062,8.25338844920905e-12,1.2004928653395e-11,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AI","LayerGroupmid:cLayerWithinGroup",0.00375574448529412,0.00045858488892746,8.18985661319558,2.26066152594072e-15,9.04264610376287e-15,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AI","LayerGrouplate:cLayerWithinGroup",0.000852481617647059,0.00045858488892746,1.85893961669964,0.0636313409481173,0.185109355485432,"","0.185"
"GPT-2","TrainOn:AI-TestOn:AAN","(Intercept)",0.730769230769231,0.00518480012178653,140.944532788938,0,0,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAN","LayerGroupearly",-0.212050580518434,0.00533511531079858,-39.746203814795,7.4369911143643e-156,1.18991857829829e-154,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAN","LayerGroupmid",-0.112019230769231,0.00534436963746029,-20.9602326126649,3.20181250541828e-70,1.46368571676264e-69,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAN","LayerGrouplate",-0.112213029218843,0.00534436963746025,-20.9964947844006,2.14016689261939e-70,1.14142234273034e-69,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAN","LayerGroupearly:cLayerWithinGroup",0.00203678370573035,0.000256685855070603,7.93492771609919,1.42756838017564e-14,2.40432569292739e-14,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAN","LayerGroupmid:cLayerWithinGroup",0.00249316005471956,0.000281185266029342,8.86660986873828,1.38402960024172e-17,7.38149120128915e-17,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAN","LayerGrouplate:cLayerWithinGroup",-0.00121979024167807,0.000281185266029342,-4.33803043417923,1.74460469469805e-05,0.000111654700460675,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAR","(Intercept)",0.989338235294122,0.0225658612187115,43.8422547096837,3.13321351400116e-172,8.35523603733643e-172,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAR","LayerGroupearly",-0.780887840210716,0.0232200796291873,-33.6298519506001,1.03031028509541e-129,1.0989976374351e-128,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAR","LayerGroupmid",-0.422687115891135,0.0232603573344441,-18.1719958044332,7.31574917124187e-57,2.12821794072491e-56,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAR","LayerGrouplate",-0.301418459174715,0.023260357334444,-12.9584621096244,2.95161930557167e-33,6.29678785188622e-33,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAR","LayerGroupearly:cLayerWithinGroup",0.0123381255487269,0.00111717660204298,11.0440243074946,1.7270650653463e-25,3.94757729222012e-25,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAR","LayerGroupmid:cLayerWithinGroup",0.0129993415276558,0.00122380565131182,10.6220636534253,7.14694663664882e-24,5.71755730931906e-23,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AAR","LayerGrouplate:cLayerWithinGroup",0.00816066725197543,0.00122380565131182,6.66827060589876,6.95825005420904e-11,1.11332000867345e-09,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AI","(Intercept)",0.976602564102568,0.014971263719567,65.2318055707066,1.26364701694213e-244,8.08734090842962e-244,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AI","LayerGroupearly",-0.158616138763197,0.0154053032742067,-10.2962035826176,1.19204217300974e-22,1.36233391201113e-22,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AI","LayerGroupmid",0.0121995192307691,0.015432025416188,0.790532603579823,0.429596893404717,0.429596893404717,"","0.43"
"GPT-2","TrainOn:AI-TestOn:AI","LayerGrouplate",-0.00204326923076925,0.0154320254161879,-0.132404475476427,0.894718396209781,0.923580279958484,"","0.924"
"GPT-2","TrainOn:AI-TestOn:AI","LayerGroupearly:cLayerWithinGroup",0.0262199912016088,0.000741187999359249,35.3756283483755,2.21783452031254e-137,7.09707046500014e-136,"***","<0.001"
"GPT-2","TrainOn:AI-TestOn:AI","LayerGroupmid:cLayerWithinGroup",0.000357748868778281,0.00081193077320237,0.44061498909232,0.65968488469255,0.727928148626262,"","0.728"
"GPT-2","TrainOn:AI-TestOn:AI","LayerGrouplate:cLayerWithinGroup",-0.000628770739064857,0.00081193077320237,-0.774414223253167,0.439057104333984,0.711299349538868,"","0.711"
"GPT-2","TrainOn:normal-TestOn:AAR","(Intercept)",0.913602941176477,0.018557941455423,49.2297566177257,1.95471518829607e-192,6.9500984472749e-192,"***","<0.001"
"GPT-2","TrainOn:normal-TestOn:AAR","LayerGroupearly",-0.508115671641797,0.0190959642165753,-26.6085370646407,2.22630780689023e-97,8.9052312275609e-97,"***","<0.001"
"GPT-2","TrainOn:normal-TestOn:AAR","LayerGroupmid",-0.501336150131701,0.0191290882036844,-26.2080526156568,1.78862429452487e-95,1.43089943561989e-94,"***","<0.001"
"GPT-2","TrainOn:normal-TestOn:AAR","LayerGrouplate",-0.535897717295876,0.0191290882036843,-28.0148071664315,5.03263819574161e-104,8.05222111318657e-103,"***","<0.001"
"GPT-2","TrainOn:normal-TestOn:AAR","LayerGroupearly:cLayerWithinGroup",0.0105849429323968,0.000918755006739596,11.5209635373414,2.32130752234785e-27,6.19015339292759e-27,"***","<0.001"
"GPT-2","TrainOn:normal-TestOn:AAR","LayerGroupmid:cLayerWithinGroup",-0.00343064091308165,0.00100644568402418,-3.40866970521903,0.000706295845594668,0.00125563705883496,"**","0.001"
"GPT-2","TrainOn:normal-TestOn:AAR","LayerGrouplate:cLayerWithinGroup",-0.000635425812115889,0.00100644568402418,-0.63135628897051,0.528100201612997,0.711299349538868,"","0.711"
